# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 26 16:08:01 2020
#
# User preference: *
#
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
pl_discmethod,pl_orbsmax,st_teff,st_lum
Radial Velocity,5.448000,,
Radial Velocity,1.020000,5662.00,
Radial Velocity,2.150000,5664.00,0.340
Radial Velocity,0.060000,4503.00,
Radial Velocity,0.066000,3679.00,-1.472
Radial Velocity,1.180000,4972.00,
Radial Velocity,2.280000,5560.00,
Radial Velocity,3.430000,5505.00,
Radial Velocity,1.230000,4844.00,
Radial Velocity,3.704000,5607.00,
Radial Velocity,9.890000,5607.00,
Radial Velocity,2.340000,5882.00,
Radial Velocity,2.690000,5400.00,
Radial Velocity,1.850000,4895.00,
Radial Velocity,1.260000,6130.00,
Radial Velocity,0.125400,5898.00,0.079
Radial Velocity,0.266300,5898.00,0.079
Radial Velocity,0.809800,5898.00,0.079
Transit,0.018600,5528.00,
Transit,0.184100,5528.00,
Radial Velocity,0.077570,5528.00,
Radial Velocity,0.590000,4580.00,
Radial Velocity,3.410000,5727.00,
Radial Velocity,0.040000,5000.00,
Radial Velocity,1.070000,4978.00,
Radial Velocity,,4978.00,
Radial Velocity,0.150800,5935.00,0.640
Radial Velocity,1.100000,6250.00,
Radial Velocity,1.600000,4861.00,
Radial Velocity,2.240000,4861.00,
Radial Velocity,2.070000,5879.00,
Radial Velocity,0.718100,5879.00,
Radial Velocity,0.481700,5879.00,
Radial Velocity,0.268700,5879.00,
Radial Velocity,1.543000,5879.00,
Radial Velocity,6.360000,5879.00,
Radial Velocity,0.389000,6060.00,
Radial Velocity,0.295000,5221.00,
Radial Velocity,0.533640,,
Radial Velocity,1.710000,,
Radial Velocity,2.807000,,
Radial Velocity,0.277000,5329.00,-0.220
Radial Velocity,3.740000,5329.00,-0.220
Radial Velocity,1.020000,5981.00,
Radial Velocity,0.129400,5541.00,
Radial Velocity,3.640000,5541.00,
Radial Velocity,1.623000,5338.00,
Radial Velocity,3.100000,6037.00,0.160
Radial Velocity,0.041000,5576.00,
Radial Velocity,0.046800,4956.00,-0.639
Radial Velocity,0.079900,4956.00,-0.639
Radial Velocity,0.132100,4956.00,-0.639
Radial Velocity,0.247000,4956.00,-0.639
Radial Velocity,0.600000,4956.00,-0.639
Radial Velocity,1.400000,4869.00,1.664
Radial Velocity,0.850000,6165.00,
Radial Velocity,,5010.00,-0.187
Radial Velocity,,,
Radial Velocity,1.280000,5688.00,0.086
Radial Velocity,1.670000,5405.00,
Radial Velocity,1.170000,5596.00,
Radial Velocity,6.950000,5596.00,
Radial Velocity,1.662000,5717.00,
Radial Velocity,0.554000,5727.00,-0.009
Radial Velocity,0.120000,5686.00,
Radial Velocity,1.157000,4943.00,
Radial Velocity,0.920000,5508.00,-0.137
Radial Velocity,0.238000,6093.00,0.500
Radial Velocity,1.190000,5752.00,0.260
Radial Velocity,0.064400,5869.00,0.053
Radial Velocity,0.110000,5869.00,0.053
Radial Velocity,1.920000,5616.00,
Radial Velocity,0.681300,5434.00,-0.244
Radial Velocity,0.897200,5434.00,-0.244
Radial Velocity,0.237000,5294.00,-0.200
Radial Velocity,0.039800,5285.00,
Radial Velocity,0.050000,5657.00,
Radial Velocity,2.395000,5657.00,
Radial Velocity,1.190000,4959.00,1.190
Radial Velocity,4.600000,4959.00,1.190
Radial Velocity,1.280000,4914.00,1.389
Radial Velocity,1.970000,4914.00,1.389
Radial Velocity,1.930000,4424.00,2.270
Radial Velocity,1.814000,5733.00,
Radial Velocity,1.167000,4802.00,
Radial Velocity,0.060000,5602.00,
Radial Velocity,3.833000,6102.00,
Radial Velocity,9.020000,6102.00,
Radial Velocity,2.353000,5987.00,0.143
Radial Velocity,0.105900,5358.00,-0.244
Radial Velocity,0.380900,5358.00,-0.244
Radial Velocity,0.520000,6136.00,
Radial Velocity,1.570000,4871.00,
Radial Velocity,1.930000,4871.00,
Radial Velocity,3.180000,6012.00,0.430
Radial Velocity,0.530000,4830.00,1.610
Radial Velocity,1.911000,4877.00,
Radial Velocity,1.200000,5902.00,
Radial Velocity,0.640000,4673.00,
Radial Velocity,1.086000,4658.00,
Radial Velocity,0.770000,6245.00,
Radial Velocity,1.600000,6245.00,
Radial Velocity,1.640000,4946.00,1.590
Radial Velocity,0.040000,4812.00,
Radial Velocity,0.940000,5449.00,
Radial Velocity,0.246000,5676.00,
Radial Velocity,0.140000,5769.00,
Radial Velocity,1.301000,5612.00,
Radial Velocity,5.750000,5612.00,
Radial Velocity,1.200000,4323.00,2.240
Radial Velocity,3.467000,5773.00,
Radial Velocity,1.080000,6330.00,0.540
Radial Velocity,3.860000,6330.00,0.540
Radial Velocity,3.550000,5801.00,
Radial Velocity,2.180000,5950.00,0.068
Radial Velocity,0.070000,5932.00,
Radial Velocity,0.078500,5385.00,-0.220
Radial Velocity,0.186000,5385.00,-0.220
Radial Velocity,0.630000,5385.00,-0.220
Radial Velocity,1.760000,5737.00,
Radial Velocity,3.318000,5732.00,
Radial Velocity,1.360000,5371.00,
Radial Velocity,1.880000,4934.00,
Radial Velocity,4.750000,5932.00,
Radial Velocity,0.228000,5688.00,0.146
Radial Velocity,2.187000,5387.00,
Radial Velocity,0.650000,5601.00,
Radial Velocity,1.030000,5601.00,
Radial Velocity,2.990000,4917.00,
Radial Velocity,0.292000,6068.00,
Radial Velocity,3.850000,6068.00,
Radial Velocity,2.380000,6024.00,
Radial Velocity,0.050000,6117.00,
Radial Velocity,1.032000,4867.00,
Radial Velocity,8.400000,4867.00,
Radial Velocity,1.191000,5963.00,0.460
Radial Velocity,0.050000,5644.00,
Radial Velocity,1.149000,4698.00,1.380
Radial Velocity,0.060000,5341.00,
Radial Velocity,0.060000,5131.00,
Radial Velocity,0.113400,5131.00,
Radial Velocity,0.155100,5131.00,
Radial Velocity,2.980000,5748.00,0.030
Radial Velocity,,5561.00,
Transit,0.016600,,0.240
Radial Velocity,1.940000,5755.00,
Radial Velocity,0.810000,4753.00,1.857
Radial Velocity,1.580000,4953.00,
Radial Velocity,1.183060,6016.00,
Radial Velocity,0.743450,6016.00,
Radial Velocity,0.533000,4914.00,
Radial Velocity,0.040000,5442.00,
Radial Velocity,2.450000,6136.00,
Radial Velocity,1.373000,5186.00,
Radial Velocity,0.260000,4300.00,
Radial Velocity,0.760000,6064.00,
Radial Velocity,0.034600,5939.00,0.380
Radial Velocity,2.840000,5903.00,0.025
Radial Velocity,2.860000,6210.00,0.660
Radial Velocity,3.020000,6472.00,
Radial Velocity,2.720000,4805.00,1.560
Radial Velocity,0.117000,5770.00,
Radial Velocity,3.580000,4915.00,
Radial Velocity,0.047900,5392.00,
Radial Velocity,3.270000,5955.00,
Transit,0.106600,5576.00,0.425
Radial Velocity,0.917000,6291.00,
Radial Velocity,0.250000,5599.00,-0.143
Radial Velocity,2.200000,5577.00,0.382
Radial Velocity,0.970000,5744.00,
Radial Velocity,10.500000,5744.00,
Radial Velocity,9.620000,5770.00,
Radial Velocity,0.477000,4995.00,-0.387
Radial Velocity,0.189000,5793.00,0.041
Radial Velocity,0.654000,5793.00,0.041
Radial Velocity,2.740000,4798.00,
Imaging,55.700000,,
Radial Velocity,1.360000,4918.00,
Radial Velocity,3.330000,4918.00,
Radial Velocity,1.280000,4218.00,
Radial Velocity,5.150000,5312.00,
Radial Velocity,1.110000,5020.00,
Radial Velocity,1.420000,3943.00,
Radial Velocity,1.332000,5733.00,
Disk Kinematics,130.000000,10000.00,1.602
Radial Velocity,,5175.00,
Radial Velocity,1.260000,4925.00,
Radial Velocity,6.570000,5790.00,
Radial Velocity,1.864000,5271.00,-0.220
Radial Velocity,1.110000,5282.00,
Radial Velocity,0.120000,4815.00,
Radial Velocity,1.980000,4862.00,
Radial Velocity,,4862.00,
Radial Velocity,0.810000,4780.00,1.670
Radial Velocity,0.720000,4945.00,1.870
Radial Velocity,1.134000,5180.00,
Radial Velocity,0.706000,5530.00,
Transit,,5089.00,
Radial Velocity,0.250000,3901.00,
Radial Velocity,0.069600,5544.00,-0.010
Radial Velocity,0.549000,5544.00,-0.010
Radial Velocity,1.940000,5544.00,-0.010
Radial Velocity,0.217000,4881.00,
Transit,,6226.00,
Transit,,6226.00,
Transit,,6226.00,
Transit,,6226.00,
Transit,,6226.00,
Radial Velocity,0.890000,4962.00,-0.959
Radial Velocity,7.700000,4962.00,-0.959
Radial Velocity,0.063000,4021.00,
Radial Velocity,0.099000,4021.00,
Radial Velocity,0.070000,4510.00,
Radial Velocity,0.178000,4510.00,
Radial Velocity,1.010000,4510.00,
Radial Velocity,0.565000,4830.00,1.630
Radial Velocity,0.177000,5460.00,
Radial Velocity,0.316000,5460.00,
Imaging,92.000000,8840.00,
Radial Velocity,2.810000,5000.00,1.650
Radial Velocity,4.910000,4985.00,1.617
Radial Velocity,0.460000,4890.00,1.244
Radial Velocity,3.820000,4890.00,1.244
Radial Velocity,20.250000,4105.00,
Radial Velocity,0.335000,4146.00,
Radial Velocity,2.100000,4850.00,1.215
Imaging,740.000000,10500.00,
Imaging,345.000000,,
Radial Velocity,0.360000,3368.00,-1.523
Radial Velocity,2.800000,4670.00,1.405
Radial Velocity,0.060000,5519.00,
Radial Velocity,2.550000,5020.00,1.204
Imaging,773.000000,5974.00,0.072
Imaging,20.300000,,
Radial Velocity,18.000000,5794.00,
Radial Velocity,0.920000,6167.00,
Transit,0.048000,6201.00,0.371
Transit,0.067400,6201.00,0.371
Transit,0.102700,6201.00,0.371
Imaging,68.000000,7400.00,
Imaging,38.000000,7400.00,
Imaging,24.000000,7400.00,
Imaging,16.400000,7400.00,
Eclipse Timing Variations,3.600000,,
Eclipse Timing Variations,5.400000,,
Eclipse Timing Variations,4.690000,,
Radial Velocity,2.038000,,
Transit,,5620.00,
Transit,0.029600,6168.00,
Transit,,4819.00,-0.595
Transit,,4695.00,-0.657
Transit,0.023000,3546.46,
Transit,0.079600,5464.00,
Transit,0.047500,6061.00,
Transit,0.058100,5599.00,
Transit,0.225700,5433.00,
Transit,0.102700,4950.00,
Transit,0.062100,5730.00,0.279
Transit,0.064200,5660.00,
Transit,0.095400,5044.00,
Transit,0.143000,5657.00,
Transit,0.048000,4348.35,
Transit,0.018900,3778.00,
Transit,0.049200,3778.00,
Transit,0.245000,4726.29,
Transit,0.069800,4740.00,
Transit,0.080200,5800.00,
Transit,0.078000,4349.90,
Transit,0.052500,4551.00,
Transit,0.028500,4027.00,
Transit,0.164900,4035.00,
Transit,0.049000,3570.00,
Transit,0.121000,3654.47,
Transit,0.065600,4339.00,
Transit,0.041100,4575.00,
Transit,0.056000,4469.51,
Transit,0.057000,3459.09,
Transit,0.211400,5698.00,
Transit,0.032000,4356.47,
Transit,0.009500,5245.00,
Transit,,4840.00,
Transit,0.031940,3655.00,-1.479
Transit,0.043410,3655.00,-1.479
Transit,0.074870,3655.00,-1.479
Transit,0.134600,3655.00,-1.479
Transit,,4499.00,-0.788
Transit,,4499.00,-0.788
Transit,,4499.00,-0.788
Transit,0.005800,3492.00,
Transit,0.033800,5378.00,
Transit,0.044540,5378.00,
Transit,0.058830,5378.00,
Transit,0.078070,5378.00,
Transit,0.104300,5378.00,
Transit,0.179600,5370.00,
Transit,0.062700,3789.00,
Transit,0.068700,5705.00,
Transit,,4599.00,-0.750
Transit,,4599.00,-0.750
Transit,,3385.00,
Transit,,3385.00,
Transit,0.015900,3672.00,-1.292
Transit,0.045400,4079.00,-0.996
Transit,0.061600,4079.00,-0.996
Transit,0.077400,4079.00,-0.996
Transit,0.083000,3745.00,-1.310
Transit,0.091000,5131.00,
Transit,0.072700,3499.00,-1.585
Transit,0.037300,3695.00,
Transit,0.171600,4044.00,
Transit,0.061400,3845.00,
Transit,0.040500,4097.00,
Transit,0.067700,4097.00,
Transit,0.056200,4258.00,
Transit,0.094600,4258.00,
Transit,0.193700,4258.00,
Transit,0.014900,4597.00,
Transit,,5456.00,
Transit,0.088700,5503.00,
Transit,0.062200,5503.00,
Transit,0.101300,5425.00,
Transit,0.066700,,
Transit,0.122900,,
Transit,,5649.00,
Transit,,4972.00,
Transit,0.079500,4842.00,
Transit,,4937.00,
Transit,,5791.00,
Transit,,5185.00,
Transit,,5185.00,
Transit,,5185.00,
Transit,0.085800,,
Transit,,5908.00,
Transit,,5502.70,
Transit,,5548.00,
Transit,0.119000,4320.00,
Transit,,5748.00,
Transit,,5748.00,
Transit,,5250.00,
Transit,,5569.00,
Transit,,5569.00,
Transit,,5580.00,
Transit,0.126000,4455.00,
Transit,,5909.00,
Transit,,5428.00,
Transit,,6063.00,
Transit,,5525.00,
Transit,,5015.00,
Transit,0.142900,3457.00,
Radial Velocity,0.060000,3457.00,
Transit,0.075300,5358.00,
Transit,0.070600,5608.00,
Transit,0.052900,5165.00,
Transit,,5519.00,
Transit,0.093200,5519.00,
Transit,0.152700,5519.00,
Transit,0.122900,5220.00,
Transit,,5722.00,
Transit,,5784.00,
Transit,0.016400,5484.00,
Transit,0.039200,5484.00,
Transit,0.072000,5484.00,
Transit,0.110600,5484.00,
Transit,0.028900,5977.00,
Transit,0.078500,5977.00,
Transit,0.036100,5519.00,
Transit,0.068000,5519.00,
Transit,0.074000,5430.00,
Transit,0.097100,5430.00,
Transit,0.034400,5430.00,
Transit,,5631.00,
Transit,,5631.00,
Transit,,5176.00,
Transit,0.049000,5222.00,
Transit,0.118400,5817.00,
Transit,,5979.00,
Transit,0.120800,5713.00,
Transit,,5713.00,
Transit,,6045.00,
Transit,0.080600,5667.00,
Transit,,5212.90,
Transit,,5212.90,
Transit,,5212.90,
Transit,0.038500,4648.00,
Transit,0.066800,4648.00,
Transit,,5233.00,
Transit,,5507.00,
Transit,,5507.00,
Transit,,5491.00,
Transit,,5000.00,
Transit,,5755.00,
Transit,,5890.00,
Transit,,5043.00,
Transit,,5522.00,
Transit,,5582.00,
Transit,,4720.00,
Transit,0.076000,4222.06,
Transit,0.107000,4222.06,
Transit,,5396.00,
Transit,,5221.00,
Transit,0.078500,4272.00,
Transit,,5794.00,
Transit,0.083400,5854.00,
Transit,,5704.00,
Transit,0.028000,4503.00,-0.721
Transit,,5967.00,
Transit,,5757.00,
Transit,,5753.00,
Transit,,5753.00,
Transit,,5753.00,
Transit,0.008800,3830.00,
Transit,0.110400,5660.00,
Transit,,5716.00,
Transit,0.121100,6058.00,
Transit,0.012700,5835.00,
Transit,0.054900,5835.00,
Transit,0.051600,5620.00,
Transit,0.088600,5620.00,
Transit,0.134000,5742.00,
Transit,0.041300,5424.00,
Transit,,5673.00,
Transit,0.033800,4715.00,
Transit,0.013100,5315.00,
Transit,0.076900,5315.00,
Transit,0.040900,5945.00,
Transit,,5695.00,
Transit,0.103560,6154.00,0.238
Transit,0.033170,4950.00,-0.523
Transit,0.066870,4950.00,-0.523
Transit,0.152700,4950.00,-0.523
Transit,0.035300,6099.00,
Transit,0.046000,5630.00,
Transit,0.044100,3420.00,-1.796
Transit,0.057600,3420.00,-1.796
Transit,0.068500,3420.00,-1.796
Transit,,5625.00,
Transit,,5625.00,
Transit,0.051300,3810.00,-1.276
Transit,0.115900,3810.00,-1.276
Transit,0.156700,5262.00,
Transit,0.049400,3459.00,
Transit,0.108700,6570.00,
Transit,0.181700,6570.00,
Transit,0.141800,5677.00,
Transit,0.095900,5793.00,
Transit,0.060200,5610.00,
Transit,0.030400,4667.00,
Transit,0.061500,4667.00,
Transit,0.069900,5528.00,
Transit,0.115100,6504.00,
Transit,,3180.00,-2.076
Transit,0.045900,5172.00,
Transit,0.069400,3717.00,
Transit,0.104100,5152.00,
Transit,0.050600,6027.00,
Transit,0.044800,4629.00,
Transit,0.092300,4629.00,
Transit,0.027400,4676.00,
Transit,0.057800,5219.00,
Transit,0.021600,3725.00,
Transit,0.149000,6351.00,
Transit,0.127100,6059.00,
Transit,0.096200,3785.00,-1.310
Transit,0.040400,6367.00,
Transit,0.102000,5537.00,
Transit,0.257300,5368.00,-0.260
Transit,0.050230,3660.00,
Transit,0.112830,3660.00,
Transit,0.033760,5477.00,
Transit,0.013060,4285.00,-0.823
Transit,0.067900,4285.00,-0.823
Transit,0.103500,4285.00,-0.823
Transit,0.124900,4285.00,-0.823
Transit,0.030800,5068.00,
Transit,0.081900,5068.00,
Transit,0.053100,6209.00,
Transit,0.067020,5248.00,
Transit,0.024700,4877.00,
Transit,0.049700,4877.00,
Transit,0.077000,5644.00,
Transit,0.108100,5419.00,
Transit,0.097400,5200.00,
Transit,0.106400,5065.00,
Transit,0.040000,4812.00,
Transit,0.075000,4812.00,
Transit,0.129100,5139.00,
Transit,0.067500,5741.00,
Transit,0.048800,6747.00,
Transit,0.067000,5558.00,
Transit,0.021400,3214.00,
Transit,0.148800,5742.00,
Transit,0.077300,4812.00,
Transit,0.049900,,
Transit,0.029100,5060.00,
Transit,0.047710,4140.00,-1.013
Transit,0.038170,4975.00,
Transit,0.082400,4975.00,
Transit,0.117800,4975.00,
Transit,0.180410,4975.00,
Transit,0.176800,3926.00,-1.046
Transit,0.120600,5695.00,
Transit,0.164000,3341.00,-1.930
Transit,0.107000,5529.00,
Transit,0.042170,5358.00,
Transit,0.092300,6302.00,
Transit,0.305000,6302.00,
Transit,0.032610,5520.00,-0.166
Transit,,5532.00,
Transit,,5612.00,
Transit,0.045100,4444.00,
Transit,0.076900,3896.00,
Transit,0.139900,3896.00,
Transit,0.207600,3896.00,
Transit,0.048390,5425.00,-0.256
Transit,,6100.00,
Transit,0.022000,5280.00,
Transit,0.080350,,
Transit,0.139900,,
Transit,0.186200,,
Transit,0.049510,,
Transit,,3540.00,-0.824
Transit,0.042600,6071.00,
Transit,0.055000,4402.71,
Transit,0.031000,4402.71,
Transit,0.022300,4916.00,-0.570
Transit,0.054000,4916.00,-0.570
Transit,0.051100,5413.00,
Transit,0.065400,5413.00,
Transit,0.110300,5413.00,
Transit,,5757.00,
Transit,0.096400,5757.00,
Transit,,4881.00,
Transit,0.078000,4014.73,
Transit,0.061700,4613.00,
Transit,,3840.60,
Transit,,3840.60,
Transit,0.065100,5912.00,
Transit,0.022400,4103.00,
Transit,0.138210,6256.00,
Transit,0.177900,5054.00,
Transit,0.134400,4899.00,
Transit,0.030900,4175.00,
Transit,0.053200,3930.00,
Transit,0.081800,3930.00,
Transit,0.070500,,
Transit,0.054000,7147.00,
Transit,0.098000,5263.00,
Transit,0.067100,3798.00,
Transit,0.034860,4456.00,
Transit,0.074600,4434.00,
Transit,0.069200,5413.00,
Transit,0.035000,5413.00,
Transit,0.151700,5413.00,
Transit,0.135400,5055.00,
Transit,0.090500,5055.00,
Transit,0.189800,5850.00,
Transit,0.045000,5500.00,
Transit,0.039200,6293.00,
Transit,0.063600,4880.00,
Transit,0.114800,4880.00,
Transit,0.162700,6771.00,
Transit,0.189000,6771.00,
Transit,0.061900,5312.00,
Transit,0.101400,5213.00,
Transit,0.059830,5887.00,
Transit,0.070800,4746.00,
Transit,0.059100,4127.00,
Transit,0.181400,5772.00,
Transit,0.111200,5622.00,
Transit,0.055900,4006.00,
Transit,0.040000,3360.47,
Transit,0.078000,3360.47,
Transit,0.050000,3360.47,
Transit,0.106000,3360.47,
Transit,0.076190,5922.00,
Transit,0.140200,6060.00,
Transit,0.081000,5995.00,
Transit,0.142900,5995.00,
Transit,,4970.00,-0.500
Transit,0.098700,5926.00,
Transit,0.085600,4870.00,
Transit,0.053200,4870.00,
Transit,0.135000,5441.00,
Transit,0.059600,5441.00,
Transit,,5441.00,
Transit,0.059000,4674.13,
Transit,0.030140,3910.00,
Transit,0.071310,3910.00,
Transit,0.066500,5652.00,
Transit,0.176800,5652.00,
Transit,0.012630,4268.00,
Transit,0.077000,5482.00,
Transit,0.094000,5747.00,
Transit,0.034500,3537.00,
Transit,0.014620,3691.00,
Transit,0.091000,3390.00,-1.921
Transit,0.096000,4484.00,
Transit,0.035000,4484.00,
Transit,0.016400,3622.00,
Transit,0.069600,3548.00,
Transit,0.086000,4717.00,
Transit,0.097400,6172.00,
Transit,0.159700,6217.00,
Transit,0.024660,6518.00,0.542
Transit,0.052500,5948.00,0.217
Transit,,5375.00,
Transit,0.067080,6279.00,0.892
Transit,0.030050,5720.00,
Transit,,6003.00,
Transit,0.020440,6236.00,0.401
Transit,0.048810,7454.00,0.876
Transit,0.045500,6670.00,0.813
Transit,0.063700,7500.00,0.978
Transit,,6327.00,
Transit,0.054200,8720.00,1.104
Transit,0.052240,7598.00,0.905
Transit,0.033020,5899.00,0.034
Transit,0.069690,6509.00,0.565
Transit,,6304.00,
Transit,0.043170,6206.00,0.535
Transit,,6102.00,
Radial Velocity,2.390000,6102.00,
Transit,,6768.00,
Transit,,5754.00,
Transit,0.034620,10170.00,1.724
Orbital Brightness Modulation,,27500.00,
Orbital Brightness Modulation,,27500.00,
Orbital Brightness Modulation,,27500.00,
Transit,,6091.00,
Transit,,6175.00,
Eclipse Timing Variations,0.800000,,
Transit,,6340.00,
Transit,,6258.00,
Pulsation Timing Variations,,7067.00,0.996
Transit,,6474.00,
Transit,,6474.00,
Transit,,6065.00,
Microlensing,2.200000,,
Microlensing,0.342000,,
Microlensing,5.100000,,
Microlensing,1.080000,,
Microlensing,3.500000,,
Microlensing,0.830000,,
Microlensing,3.450000,,
Microlensing,1.800000,,
Microlensing,1.600000,,
Microlensing,0.763000,,
Transit,0.154000,,
Transit,0.382000,5520.00,
Transit,0.036410,7650.00,
Transit,,5471.00,-0.223
Transit Timing Variations,0.155250,5471.00,-0.223
Transit,0.147280,,
Transit,0.112293,,
Transit,0.047700,5545.00,
Transit,0.074000,6080.00,
Transit,0.089000,6080.00,
Transit,0.320000,6080.00,
Transit,0.420000,6080.00,
Transit,0.480000,6080.00,
Transit,0.710000,6080.00,
Transit,1.010000,6080.00,
Transit,0.534000,5830.00,
Orbital Brightness Modulation,0.006000,27730.00,1.360
Orbital Brightness Modulation,0.007600,27730.00,1.360
Transit,0.051190,6182.00,0.479
Transit,0.101300,6182.00,0.479
Transit,0.168400,6182.00,0.479
Transit,0.304600,6182.00,0.479
Transit,0.026900,5165.00,
Radial Velocity,0.311000,3550.00,
Transit,0.017200,5708.00,0.002
Transit,,5708.00,0.002
Transit,,5825.00,
Transit,,5825.00,
Transit,,5825.00,
Transit,,6453.00,
Transit,,5491.00,
Transit,,6144.00,
Transit,,6109.00,
Transit,,4972.00,
Transit,,5782.00,
Transit,,5328.00,
Transit,,4587.00,
Transit,,5066.00,
Transit,,4027.00,
Transit,0.047400,5667.00,
Transit,0.068400,5667.00,
Transit,,5253.00,
Transit,,5416.00,
Transit,,5556.00,
Transit,,4954.00,
Transit,,5388.00,
Transit,,6769.00,
Transit,,5821.00,
Transit,,5821.00,
Transit,,5473.00,
Transit,,5518.00,
Transit,,4433.00,
Transit,,4909.00,-0.553
Transit,,4909.00,-0.553
Transit,,4909.00,-0.553
Transit,,4909.00,-0.553
Transit,,4909.00,-0.553
Transit,,5227.00,
Transit,,5431.00,
Transit,,4445.00,
Transit,,5494.00,
Transit,,5143.00,
Transit,,6089.00,
Transit,,4948.00,
Transit,,5436.00,
Transit,,5522.00,
Transit,,5030.00,
Transit,,5845.00,
Transit,,5845.00,
Transit,,4983.00,
Transit,,6011.00,
Transit,,4647.00,
Transit,,5547.00,
Transit,,5198.00,
Transit,,5763.00,
Transit,,5533.00,
Transit,,5105.00,
Transit,,5335.00,
Transit,,4870.00,
Transit,0.094000,5711.00,
Transit,0.153000,5711.00,
Transit,0.257000,5711.00,
Transit,,5694.00,
Transit,,5957.00,
Transit,,4815.00,
Transit,,5629.00,
Transit,,5985.00,
Transit,,5301.00,
Transit,,5913.00,
Transit,,5754.00,
Transit,,5754.00,
Transit,,4651.00,
Transit,,3864.00,
Transit,0.066000,5827.00,
Transit,,5827.00,
Transit,,6010.00,
Transit,,6010.00,
Transit,,6675.00,
Transit,,5888.00,
Transit,,4529.00,
Transit,,6209.00,
Transit,,5723.00,
Transit,,6127.00,
Transit,,5987.00,
Transit,,4644.00,
Transit,,4906.00,
Transit,,5858.00,
Transit,,5858.00,
Transit,,5858.00,
Transit,,5858.00,
Transit,,5797.00,
Transit,,6067.00,
Transit,,4597.00,
Transit,,5945.00,
Transit,,5153.00,
Transit,,5635.00,
Transit,,5635.00,
Transit,,5762.00,
Transit,,5592.00,
Transit,,5806.00,
Transit,,5722.00,
Transit,0.045440,5854.00,
Transit,0.060640,5854.00,
Transit,0.083770,5854.00,
Transit,0.126390,5854.00,
Transit,,6261.00,
Transit,,5215.00,
Transit,,6199.00,
Transit,,5792.00,
Transit,,5792.00,
Transit,,4002.00,
Transit,,3959.00,
Transit,,4868.00,
Transit,,5816.00,
Transit,,5612.00,
Transit,,5758.00,
Transit,0.292000,5854.00,
Transit,0.721000,5854.00,
Transit,,5956.00,
Transit,,5345.00,
Transit,,5923.00,
Transit,,5049.00,
Transit,,6113.00,
Transit,,6000.00,
Transit,,4350.00,
Transit,,4350.00,
Transit,,5589.00,
Transit,,5975.00,
Transit,,3753.00,
Transit,,5952.00,
Transit,,5952.00,
Transit,,5321.00,
Transit,,5851.00,
Transit,,5862.00,
Transit,,6166.00,
Transit,,6166.00,
Transit,,6112.00,
Transit,,5658.00,
Transit,,4306.00,
Transit,,5211.00,
Transit,,5794.00,
Transit,,5837.00,
Transit,0.091000,5663.00,
Transit,0.107000,5663.00,
Transit,0.155000,5663.00,
Transit,0.195000,5663.00,
Transit,0.250000,5663.00,
Transit,0.466000,5663.00,
Transit,0.107000,5960.00,
Transit,0.198000,5960.00,
Transit,,6247.00,
Transit,,5614.00,
Transit,,5724.00,
Transit,,6092.00,
Transit,,6417.00,
Transit,,4299.00,
Transit,,6104.00,
Transit,,5268.00,
Transit,,5406.00,
Transit,,5893.00,
Transit,0.046000,5952.00,
Transit,0.761000,5952.00,
Transit,,4781.00,
Transit,,6077.00,
Transit,,6496.00,
Transit,,5931.00,
Transit,,5374.00,
Transit,,8480.00,
Transit,,5641.00,
Transit,,5612.00,
Transit,,5688.00,
Transit,,6083.00,
Transit,0.076000,5544.00,
Transit,0.172000,5544.00,
Transit,,4904.00,
Transit,,6231.00,
Transit,,5544.00,
Transit,,5500.00,
Transit,,3658.00,
Transit,,5683.00,
Transit,,5798.00,
Transit,,5664.00,
Transit,,5543.00,
Transit,,5831.00,
Transit,,5831.00,
Transit,,4725.00,
Transit,,4725.00,
Transit,,5403.00,
Transit,,5851.00,
Transit,,5298.00,
Transit,,5569.00,
Transit,,5281.00,
Transit,,5656.00,
Transit,,4512.00,
Transit,,6807.00,
Transit,,5582.00,
Transit,,5550.00,
Transit,0.053000,4605.00,
Transit,,4605.00,
Transit,,4605.00,
Transit,,4850.00,
Transit,,5791.00,
Transit,,5685.00,
Transit,,5053.00,
Transit,,5053.00,
Transit,,5753.00,
Transit,,5064.00,
Transit,,4692.00,
Transit,,5941.00,
Transit,,5054.00,
Transit,,5833.00,
Transit,0.036000,5979.00,
Transit,0.087000,5979.00,
Transit,,4754.00,
Transit,,5470.00,
Transit,,3964.00,
Transit,,5470.00,
Transit,,6327.00,
Transit,,6327.00,
Transit,,5842.00,
Transit,,5778.00,
Transit,,4679.00,
Transit,,6203.00,
Transit,,6217.00,
Transit,0.069000,6142.00,
Transit,0.116000,6142.00,
Transit,,5519.00,
Transit,,4253.00,
Transit,,5390.00,
Transit,,6302.00,
Transit,,5183.00,
Transit,,6080.00,
Transit,,5446.00,
Transit,,4971.00,
Transit,,5157.00,
Transit,,6191.00,
Transit,0.144500,6150.00,
Transit,0.280400,6150.00,
Transit,,5069.00,
Transit,,7044.00,
Transit,,5558.00,
Transit,,5252.00,
