# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 26 16:51:28 2020
#
# User preference: *
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
#
pl_hostname,pl_name,pl_dens,pl_eqt,pl_masse,pl_rade
HD 170469,HD 170469 b,,,,
HD 17092,HD 17092 b,,,,
HD 171028,HD 171028 b,,,,
HD 171238,HD 171238 b,,,,
HD 17156,HD 17156 b,,,1115.58330,12.330
HD 173416,HD 173416 b,,,,
HD 175167,HD 175167 b,,,,
HD 175541,HD 175541 b,,,,
HD 175607,HD 175607 b,,,,
HD 17674,HD 17674 b,,,,
HD 176986,HD 176986 b,,,,
HD 176986,HD 176986 c,,,,
HD 177565,HD 177565 b,,,,
HD 177830,HD 177830 b,,,,
HD 177830,HD 177830 c,,,,
HD 178911 B,HD 178911 B b,,,,
HD 179079,HD 179079 b,,,,
HD 179949,HD 179949 b,,,,
HD 180053,HD 180053 b,,,,
HD 18015,HD 18015 b,,,,
HD 180314,HD 180314 b,,,,
HD 180617,HD 180617 b,,,,
HD 180902,HD 180902 b,,,,
HD 181234,HD 181234 b,,,,
HD 181342,HD 181342 b,,,,
HD 181433,HD 181433 b,,,,
HD 181433,HD 181433 c,,,,
HD 181433,HD 181433 d,,,,
HD 181720,HD 181720 b,,,,
HD 183263,HD 183263 b,,,,
HD 183263,HD 183263 c,,,,
HD 185269,HD 185269 b,,,,
HD 187085,HD 187085 b,,,,
HD 187123,HD 187123 b,,,,
HD 187123,HD 187123 c,,,,
HD 18742,HD 18742 b,,,,
HD 188015,HD 188015 b,,,,
HD 189733,HD 189733 b,,,359.14790,12.666
HD 190360,HD 190360 b,,,,
HD 190360,HD 190360 c,,,,
HD 190647,HD 190647 b,,,,
HD 190984,HD 190984 b,,,,
HD 191806,HD 191806 b,,,,
HD 192263,HD 192263 b,,,,
HD 192310,HD 192310 b,,355,,
HD 192310,HD 192310 c,,185,,
HD 192699,HD 192699 b,,,,
HD 195019,HD 195019 b,,,,
HD 196050,HD 196050 b,,,,
HD 196067,HD 196067 b,,,,
HD 196885 A,HD 196885 A b,,,,
HD 197037,HD 197037 b,,,,
HD 19994,HD 19994 b,,,,
HD 20003,HD 20003 b,,,,
HD 20003,HD 20003 c,,,,
HD 200964,HD 200964 b,,,,
HD 200964,HD 200964 c,,,,
HD 202206,HD 202206 c,,,5689.15700,
HD 202696,HD 202696 b,,,634.38868,
HD 202696,HD 202696 c,,,592.43512,
HD 202772 A,HD 202772 A b,0.34300,2132,323.23311,17.318
HD 203030,HD 203030 b,,1206,7656.09700,
HD 203473,HD 203473 b,,,,
HD 2039,HD 2039 b,,,,
HD 204313,HD 204313 b,,,,
HD 204313,HD 204313 c,,,,
HD 204941,HD 204941 b,,,,
HD 205739,HD 205739 b,,,,
HD 206255,HD 206255 b,,,,
HD 206610,HD 206610 b,,,,
HD 20781,HD 20781 b,,,,
HD 20781,HD 20781 c,,,,
HD 20781,HD 20781 d,,,,
HD 20781,HD 20781 e,,,,
HD 20782,HD 20782 b,,,,
HD 207832,HD 207832 b,,,,
HD 207832,HD 207832 c,,,,
HD 20794,HD 20794 b,,660,,
HD 20794,HD 20794 c,,508,,
HD 20794,HD 20794 d,,388,,
HD 20794,HD 20794 e,,,,
HD 208487,HD 208487 b,,,,
HD 208527,HD 208527 b,,,,
HD 20868,HD 20868 b,,,,
HD 208897,HD 208897 b,,,,
HD 209458,HD 209458 b,,,232.01590,15.581
HD 210193,HD 210193 b,,,,
HD 210277,HD 210277 b,,,,
HD 210702,HD 210702 b,,,,
HD 211810,HD 211810 b,,,,
HD 211970,HD 211970 b,,,,
HD 212301,HD 212301 b,,,,
HD 212771,HD 212771 b,,,,
HD 213240,HD 213240 b,,,,
HD 213885,HD 213885 b,9.15000,2128,8.83000,1.745
HD 213885,HD 213885 c,,1265,,
HD 21411,HD 21411 b,,,,
HD 214823,HD 214823 b,,,,
HD 215152,HD 215152 b,,,,
HD 215152,HD 215152 c,,,,
HD 215152,HD 215152 d,,,,
HD 215152,HD 215152 e,,,,
HD 215497,HD 215497 b,,,,
HD 215497,HD 215497 c,,,,
HD 216435,HD 216435 b,,,,
HD 216437,HD 216437 b,,,,
HD 216536,HD 216536 b,,,,
HD 216770,HD 216770 b,,,,
HD 21693,HD 21693 b,,,,
HD 21693,HD 21693 c,,,,
HD 217107,HD 217107 b,,,,
HD 217107,HD 217107 c,,,,
GJ 143,HD 21749 c,31.93000,701,3.70000,0.892
HD 217786,HD 217786 b,,,,
HD 217850,HD 217850 b,,,,
HD 218566,HD 218566 b,,,,
HD 219077,HD 219077 b,,,,
HD 219134,HD 219134 b,6.34000,1015,4.74000,1.602
HD 219134,HD 219134 c,6.95000,782,4.36000,1.511
HD 219134,HD 219134 d,,411,16.17000,1.610
HD 219134,HD 219134 f,,523,7.30000,1.310
HD 219134,HD 219134 g,,,,
HD 219134,HD 219134 h,,,,
HD 219415,HD 219415 b,,,,
HD 219666,HD 219666 b,0.87000,1073,16.60000,4.710
HD 219828,HD 219828 b,,,,
HD 219828,HD 219828 c,,,,
HD 220074,HD 220074 b,,,,
HD 220197,HD 220197 b,,,,
HD 220689,HD 220689 b,,,,
HD 220773,HD 220773 b,,,,
HD 220842,HD 220842 b,,,,
HD 221287,HD 221287 b,,,,
HD 221416,HD 221416 b,0.43100,,60.50000,9.170
HD 221420,HD 221420 b,,,,
HD 221585,HD 221585 b,,,,
HD 222076,HD 222076 b,,,,
HD 222155,HD 222155 b,,,,
HD 222582,HD 222582 b,,,,
HD 224538,HD 224538 b,,,,
HD 224693,HD 224693 b,,,,
HD 22781,HD 22781 b,,,,
HD 23079,HD 23079 b,,,,
HD 23127,HD 23127 b,,,,
HD 231701,HD 231701 b,,,,
HD 233604,HD 233604 b,,,,
HD 233832,HD 233832 b,,,,
HD 23472,HD 23472 b,,,17.92000,
HD 23472,HD 23472 c,,,17.18000,
HD 23596,HD 23596 b,,,,
HD 238914,HD 238914 b,,,,
HD 240210,HD 240210 b,,,,
HD 240237,HD 240237 b,,,,
HD 24040,HD 24040 b,,,,
HD 24064,HD 24064 b,,,,
HD 24085,HD 24085 b,,,,
HD 25015,HD 25015 b,,,,
HD 25171,HD 25171 b,,,,
HD 2638,HD 2638 b,,,,
HD 2685,HD 2685 b,,2061,371.86110,16.141
HD 26965,HD 26965 b,,,,
HD 27442,HD 27442 b,,,,
HD 27631,HD 27631 b,,,,
HD 27894,HD 27894 b,,,,
HD 27894,HD 27894 c,,,,
HD 27894,HD 27894 d,,,,
HD 28185,HD 28185 b,,,,
HD 28254,HD 28254 b,,,,
HD 285507,HD 285507 b,,,,
HD 285968,HD 285968 b,,450,,
HD 28678,HD 28678 b,,,,
HD 29021,HD 29021 b,,,,
HD 290327,HD 290327 b,,,,
HD 2952,HD 2952 b,,,,
HD 30177,HD 30177 b,,,,
HD 30177,HD 30177 c,,,,
HD 30562,HD 30562 b,,,,
HD 30669,HD 30669 b,,,,
HD 30856,HD 30856 b,,,,
HD 31253,HD 31253 b,,,,
HD 31527,HD 31527 b,,,,
HD 31527,HD 31527 c,,,,
HD 31527,HD 31527 d,,,,
HD 3167,HD 3167 b,,1669,,1.700
HD 3167,HD 3167 c,,531,,2.860
HD 3167,HD 3167 d,,,,
HD 32518,HD 32518 b,,,,
HD 32963,HD 32963 b,,,,
HD 330075,HD 330075 b,,,,
HD 33142,HD 33142 b,,,,
HD 33142,HD 33142 c,,,,
HD 33283,HD 33283 b,,,,
HD 33564,HD 33564 b,,,,
HD 33844,HD 33844 b,,,,
HD 33844,HD 33844 c,,,,
HD 34445,HD 34445 b,,,,
HD 34445,HD 34445 c,,,,
HD 34445,HD 34445 d,,,,
HD 34445,HD 34445 e,,,,
HD 34445,HD 34445 f,,,,
HD 34445,HD 34445 g,,,,
HD 35759,HD 35759 b,,,,
HD 3651,HD 3651 b,,,,
HD 37124,HD 37124 b,,,,
HD 37124,HD 37124 c,,,,
HD 37124,HD 37124 d,,,,
HD 37605,HD 37605 b,,,,
HD 37605,HD 37605 c,,,,
HD 38283,HD 38283 b,,,,
HD 38529,HD 38529 b,,,,
HD 38529,HD 38529 c,,,,
HD 38801,HD 38801 b,,,,
HD 39091,HD 39091 b,,,,
HD 39855,HD 39855 b,,,,
HD 40307,HD 40307 b,,,,
HD 40307,HD 40307 c,,,,
HD 40307,HD 40307 d,,,,
HD 40307,HD 40307 f,,,,
HD 40307,HD 40307 g,,,,
HD 40956,HD 40956 b,,,,
HD 40979,HD 40979 b,,,,
HD 41004 A,HD 41004 A b,,,,
HD 41004 B,HD 41004 B b,,,,
HD 4113,HD 4113 b,,,,
HD 42012,HD 42012 b,,,,
HD 4203,HD 4203 b,,,,
HD 4203,HD 4203 c,,,,
HD 4208,HD 4208 b,,,,
HD 42618,HD 42618 b,,337,,
HD 4308,HD 4308 b,,,,
HD 4313,HD 4313 b,,,,
HD 43197,HD 43197 b,,,,
HD 43691,HD 43691 b,,,,
HD 44219,HD 44219 b,,,,
HD 45184,HD 45184 b,,,,
HD 45184,HD 45184 c,,,,
HD 45350,HD 45350 b,,,,
HD 45364,HD 45364 b,,,,
HD 45364,HD 45364 c,,,,
HD 45652,HD 45652 b,,,,
HD 46375,HD 46375 b,,,,
HD 47186,HD 47186 b,,,,
HD 47186,HD 47186 c,,,,
HD 4732,HD 4732 b,,,,
HD 4732,HD 4732 c,,,,
HD 47366,HD 47366 b,,,,
HD 47366,HD 47366 c,,,,
HD 47536,HD 47536 b,,,,
HD 48265,HD 48265 b,,,,
HD 4917,HD 4917 b,,,,
HD 49674,HD 49674 b,,,,
HD 50499,HD 50499 b,,,,
HD 50499,HD 50499 c,,,,
HD 50554,HD 50554 b,,,,
HD 51608,HD 51608 b,,,,
HD 51608,HD 51608 c,,,,
HD 52265,HD 52265 b,,,,
HD 5319,HD 5319 b,,,,
HD 5319,HD 5319 c,,,,
HD 55696,HD 55696 b,,,,
HD 5583,HD 5583 b,,,,
HD 5608,HD 5608 b,,,,
HD 564,HD 564 b,,,,
HD 5891,HD 5891 b,,,,
HD 59686 A,HD 59686 A b,,,,
HD 60532,HD 60532 b,,,,
HD 60532,HD 60532 c,,,,
HD 62509,HD 62509 b,,,,
HD 63454,HD 63454 b,,,,
HD 63765,HD 63765 b,,,,
HD 64114,HD 64114 b,,,,
HD 6434,HD 6434 b,,,,
HD 65216,HD 65216 b,,,,
HD 65216,HD 65216 c,,,,
HD 66141,HD 66141 b,,,,
HD 66428,HD 66428 b,,,,
HD 67087,HD 67087 b,,,,
HD 67087,HD 67087 c,,,,
HD 6718,HD 6718 b,,,,
HD 68402,HD 68402 b,,,,
HD 68988,HD 68988 b,,,,
HD 69830,HD 69830 b,,,,
HD 69830,HD 69830 c,,,,
HD 69830,HD 69830 d,,,,
HD 70573,HD 70573 b,,,,
HD 70642,HD 70642 b,,,,
HD 7199,HD 7199 b,,,,
HD 72490,HD 72490 b,,,,
HD 72659,HD 72659 b,,,,
HD 72892,HD 72892 b,,,,
HD 73267,HD 73267 b,,,,
HD 73526,HD 73526 b,,,,
HD 73526,HD 73526 c,,,,
HD 73534,HD 73534 b,,,,
HD 74156,HD 74156 b,,,,
HD 74156,HD 74156 c,,,,
HD 7449,HD 7449 b,,,,
HD 75289,HD 75289 b,,,,
HD 75784,HD 75784 b,,,,
HD 75784,HD 75784 c,,,,
HD 75898,HD 75898 b,,,,
HD 76700,HD 76700 b,,,,
HD 76920,HD 76920 b,,,,
HD 77338,HD 77338 b,,,,
HD 7924,HD 7924 b,,,,
HD 7924,HD 7924 c,,584,,
HD 7924,HD 7924 d,,499,,
HD 79498,HD 79498 b,,,,
HD 80606,HD 80606 b,,,1392.09540,11.994
HD 80653,HD 80653 b,7.40000,,5.60000,1.613
HD 81040,HD 81040 b,,,,
HD 81688,HD 81688 b,,,,
HD 82886,HD 82886 b,,,,
HD 82943,HD 82943 b,,,534.25000,
HD 82943,HD 82943 c,,,622.60300,
HD 8326,HD 8326 b,,,,
HD 83443,HD 83443 b,,,,
HD 8535,HD 8535 b,,,,
HD 85390,HD 85390 b,,,,
HD 85512,HD 85512 b,,,,
HD 8574,HD 8574 b,,,,
HD 86081,HD 86081 b,,,,
HD 86226,HD 86226 b,,,,
HD 86264,HD 86264 b,,,,
HD 8673,HD 8673 b,,,,
HD 86950,HD 86950 b,,,,
HD 87646,HD 87646 b,,,,
HD 87883,HD 87883 b,,,,
HD 88133,HD 88133 b,,,,
HD 89307,HD 89307 b,,,,
HD 89345,HD 89345 b,0.47100,1089,34.96130,7.398
HD 89744,HD 89744 b,,,,
HD 90156,HD 90156 b,,,,
HD 9174,HD 9174 b,,,,
HD 92788,HD 92788 b,,,,
HD 92788,HD 92788 c,,,,
HD 92987,HD 92987 b,,,,
HD 93083,HD 93083 b,,,,
HD 9446,HD 9446 b,,,,
HD 9446,HD 9446 c,,,,
HD 94834,HD 94834 b,,,,
HD 95086,HD 95086 b,,1000,1589.00000,
HD 95089,HD 95089 b,,,,
HD 95089,HD 95089 c,,,,
HD 95127,HD 95127 b,,,,
HD 95872,HD 95872 b,,,,
HD 96063,HD 96063 b,,,,
HD 96127,HD 96127 b,,,,
HD 96167,HD 96167 b,,,,
HD 97048,HD 97048 b,,,794.57500,
HD 97658,HD 97658 b,,,9.53490,2.354
HD 98219,HD 98219 b,,,,
HD 98649,HD 98649 b,,,,
HD 98736,HD 98736 b,,,,
HD 99109,HD 99109 b,,,,
HD 99492,HD 99492 b,,,,
HD 99706,HD 99706 b,,,,
HD 99706,HD 99706 c,,,,
HIP 105854,HIP 105854 b,,,,
HIP 107773,HIP 107773 b,,,,
HIP 109384,HIP 109384 b,,,,
HIP 109600,HIP 109600 b,,,,
HIP 116454,HIP 116454 b,,,12.71320,2.466
HIP 12961,HIP 12961 b,,,,
HIP 14810,HIP 14810 b,,,,
HIP 14810,HIP 14810 c,,,,
HIP 14810,HIP 14810 d,,,,
HIP 35173,HIP 35173 b,,,,
HIP 41378,HIP 41378 b,,,,
HIP 41378,HIP 41378 c,,,,
HIP 41378,HIP 41378 d,,,,
HIP 41378,HIP 41378 e,,,,
HIP 41378,HIP 41378 f,,,,
HIP 5158,HIP 5158 b,,,,
HIP 5158,HIP 5158 c,,,,
HIP 54373,HIP 54373 b,,,,
HIP 54373,HIP 54373 c,,,,
HIP 57274,HIP 57274 b,,,,
HIP 57274,HIP 57274 c,,,,
HIP 57274,HIP 57274 d,,,,
HIP 63242,HIP 63242 b,,,,
HIP 65407,HIP 65407 b,,,,
HIP 65407,HIP 65407 c,,,,
HIP 65426,HIP 65426 b,,1500,2860.47000,16.814
HIP 65891,HIP 65891 b,,,,
HIP 67537,HIP 67537 b,,,,
HIP 67851,HIP 67851 b,,,,
HIP 67851,HIP 67851 c,,,,
HIP 70849,HIP 70849 b,,,,
HIP 71135,HIP 71135 b,,,,
HIP 74890,HIP 74890 b,,,,
HIP 78530,HIP 78530 b,,2700,7300.00000,
HIP 79098 AB,HIP 79098 AB b,,2450,6515.51500,
HIP 79431,HIP 79431 b,,,,
HIP 8541,HIP 8541 b,,,,
HIP 91258,HIP 91258 b,,,,
HIP 97233,HIP 97233 b,,,,
HN Peg,HN Peg b,,,6991.57000,11.777
HR 2562,HR 2562 b,,1200,9534.90000,12.442
HR 5183,HR 5183 b,,171,,
HR 810,HR 810 b,,,,
HR 858,HR 858 b,,1572,,2.085
HR 858,HR 858 c,,1326,,1.939
HR 858,HR 858 d,,1075,,2.164
HR 8799,HR 8799 b,,,2000.00000,13.000
HR 8799,HR 8799 c,,,3000.00000,13.000
HR 8799,HR 8799 d,,,3000.00000,13.000
HR 8799,HR 8799 e,,1150,3178.30000,13.115
HU Aqr,HU Aqr AB b,,,,
HU Aqr,HU Aqr AB c,,,,
HW Vir,HW Vir b,,,,
IC 4651 9122,IC 4651 9122 b,,,,
K2-10,K2-10 b,2.60000,,27.00000,3.840
K2-100,K2-100 b,,1748,,3.590
K2-101,K2-101 b,,,,2.000
K2-102,K2-102 b,,,,1.300
K2-104,K2-104 b,,,,1.960
K2-105,K2-105 b,,814,,3.370
K2-107,K2-107 b,,1649,,15.980
K2-108,K2-108 b,,1360,,5.330
K2-11,K2-11 b,,734,,7.550
K2-110,K2-110 b,,575,,2.560
K2-111,K2-111 b,6.60000,1309,8.60000,1.900
K2-113,K2-113 b,,1098,,12.140
K2-114,K2-114 b,,661,,10.670
K2-115,K2-115 b,,619,,12.060
K2-116,K2-116 b,,,,0.690
K2-117,K2-117 b,,868,,2.030
K2-117,K2-117 c,,537,,2.060
K2-118,K2-118 b,,,,2.540
K2-119,K2-119 b,,666,,2.530
K2-12,K2-12 b,,1003,,2.330
K2-120,K2-120 b,,,,2.010
K2-121,K2-121 b,,723,,7.500
K2-122,K2-122 b,,814,,1.210
K2-123,K2-123 b,,338,,2.760
K2-124,K2-124 b,,442,,2.900
K2-125,K2-125 b,,,,2.180
K2-126,K2-126 b,,601,,1.970
K2-127,K2-127 b,,809,,8.370
K2-128,K2-128 b,,,,1.420
K2-129,K2-129 b,,,,1.040
K2-13,K2-13 b,,511,,1.890
K2-130,K2-130 b,,,,1.250
K2-131,K2-131 b,,2062,,1.700
K2-132,K2-132 b,,,155.73670,14.572
K2-133,K2-133 b,,,,1.340
K2-133,K2-133 c,,,,1.603
K2-133,K2-133 d,,,,2.003
K2-133,K2-133 e,,296,,1.730
K2-136,K2-136 b,,553,,0.990
K2-136,K2-136 c,,425,,2.910
K2-136,K2-136 d,,373,,1.450
K2-137,K2-137 b,,1471,158.91500,0.890
K2-138,K2-138 b,,,,1.570
K2-138,K2-138 c,,,,2.520
K2-138,K2-138 d,,,,2.660
K2-138,K2-138 e,,,,3.290
K2-138,K2-138 f,,,,2.810
K2-139,K2-139 b,,524,,9.110
K2-14,K2-14 b,,488,,4.810
K2-140,K2-140 b,,957,,12.250
K2-141,K2-141 b,8.20000,,5.08000,1.510
K2-141,K2-141 c,,,7.40000,7.000
K2-146,K2-146 b,3.69000,,5.77000,2.050
K2-146,K2-146 c,3.92000,,7.49000,2.190
K2-147,K2-147 b,,,,1.380
K2-148,K2-148 b,,,,1.330
K2-148,K2-148 c,,,,1.730
K2-148,K2-148 d,,,,1.640
K2-149,K2-149 b,,,,1.640
K2-15,K2-15 b,,676,,2.480
K2-150,K2-150 b,,,,2.000
K2-151,K2-151 b,,566,,1.490
K2-152,K2-152 b,,337,,2.290
K2-153,K2-153 b,,497,,2.000
K2-154,K2-154 b,,715,,1.990
K2-154,K2-154 c,,552,,2.070
K2-155,K2-155 b,,708,,1.800
K2-155,K2-155 c,,583,,2.600
K2-155,K2-155 d,,381,,1.900
K2-156,K2-156 b,,1347,,1.150
K2-157,K2-157 b,,,,1.055
K2-158,K2-158 b,,794,,2.640
K2-158,K2-158 c,,948,,1.280
K2-159,K2-159 b,,684,,2.260
K2-16,K2-16 b,,658,,2.020
K2-16,K2-16 c,,485,,2.540
K2-160,K2-160 b,,,,3.178
K2-161,K2-161 b,,,,6.117
K2-162,K2-162 b,,631,,1.440
K2-163,K2-163 b,,,,2.466
K2-164,K2-164 b,,,,3.249
K2-165,K2-165 b,,,,1.274
K2-165,K2-165 c,,,,1.554
K2-165,K2-165 d,,,,2.648
K2-166,K2-166 b,,1140,,2.190
K2-167,K2-167 b,,,,2.819
K2-168,K2-168 b,,766,,1.860
K2-169,K2-169 b,,,,1.273
K2-17,K2-17 b,,487,,2.230
K2-170,K2-170 b,,,,1.418
K2-170,K2-170 c,,,,1.802
K2-171,K2-171 b,,,,2.687
K2-172,K2-172 b,,,,1.666
K2-172,K2-172 c,,,,3.206
K2-173,K2-173 b,,,,1.608
K2-174,K2-174 b,,455,,2.600
K2-175,K2-175 b,,,,2.038
K2-176,K2-176 b,,,,1.491
K2-177,K2-177 b,,,,2.116
K2-178,K2-178 b,,,,3.558
K2-179,K2-179 b,,,,2.513
K2-18,K2-18 b,4.11000,284,8.92000,2.370
K2-18,K2-18 c,,363,,
K2-180,K2-180 b,,731,,2.310
K2-181,K2-181 b,,962,,2.840
K2-182,K2-182 b,,885,,2.760
K2-183,K2-183 b,,,,2.599
K2-183,K2-183 c,,787,,2.870
K2-183,K2-183 d,,615,,2.860
K2-184,K2-184 b,,580,,1.550
K2-185,K2-185 b,,,,1.313
K2-186,K2-186 b,,,,3.172
K2-187,K2-187 b,,1815,,1.300
K2-187,K2-187 c,,1173,,1.800
K2-187,K2-187 d,,865,,3.170
K2-187,K2-187 e,,698,,2.380
K2-188,K2-188 b,,1692,,1.350
K2-188,K2-188 c,,1026,,2.830
K2-189,K2-189 b,,1197,,1.520
K2-189,K2-189 c,,872,,2.500
K2-19,K2-19 b,,854,,7.740
K2-19,K2-19 c,,745,,4.860
K2-19,K2-19 d,,1252,,1.140
K2-190,K2-190 b,,,,1.357
K2-190,K2-190 c,,,,1.093
K2-191,K2-191 b,,,,1.579
K2-192,K2-192 b,,939,,1.520
K2-193,K2-193 b,,739,,3.950
K2-194,K2-194 b,,,,3.642
K2-195,K2-195 b,,720,,3.130
K2-195,K2-195 c,,,,2.576
K2-196,K2-196 b,,,,3.600
K2-197,K2-197 b,,848,,2.560
K2-198,K2-198 b,,716,,4.189
K2-198,K2-198 c,,1230,,1.423
K2-198,K2-198 d,,943,,2.438
K2-199,K2-199 b,,861,,1.870
K2-199,K2-199 c,,653,,2.780
K2-200,K2-200 b,,,,1.364
K2-201,K2-201 b,,,,1.400
K2-201,K2-201 c,,,,3.286
K2-202,K2-202 b,,,,2.302
K2-203,K2-203 b,,,,1.371
K2-204,K2-204 b,,,,3.046
K2-205,K2-205 b,,,,1.996
K2-206,K2-206 b,,,,2.795
K2-207,K2-207 b,,,,2.606
K2-208,K2-208 b,,,,1.679
K2-209,K2-209 b,,,,0.869
K2-21,K2-21 b,,,,1.840
K2-21,K2-21 c,,,,2.490
K2-210,K2-210 b,,,,0.819
K2-211,K2-211 b,,,,1.375
K2-212,K2-212 b,,542,,2.520
K2-213,K2-213 b,,,,1.514
K2-214,K2-214 b,,1006,,2.430
K2-215,K2-215 b,,,,2.124
K2-216,K2-216 b,8.20000,1103,8.00000,1.750
K2-217,K2-217 b,,,,3.579
K2-218,K2-218 b,,,,2.569
K2-219,K2-219 b,,,,1.348
K2-219,K2-219 c,,,,1.438
K2-219,K2-219 d,,,,2.576
K2-22,K2-22 b,,2100,444.96200,2.500
K2-220,K2-220 b,,758,,2.390
K2-221,K2-221 b,,,,1.679
K2-222,K2-222 b,,801,,2.390
K2-223,K2-223 b,,2271,,0.890
K2-223,K2-223 c,,1091,,1.570
K2-224,K2-224 b,,1002,,1.560
K2-224,K2-224 c,,764,,2.410
K2-225,K2-225 b,,902,,3.490
K2-226,K2-226 b,,1120,,1.540
K2-227,K2-227 b,,,,1.666
K2-228,K2-228 b,,914,,1.210
K2-229,K2-229 b,,1818,,1.140
K2-229,K2-229 c,,750,,2.030
K2-230,K2-230 b,,1529,,1.960
K2-231,K2-231 b,,,,2.500
K2-232,K2-232 b,,1030,126.49634,11.209
K2-233,K2-233 b,,1040,,1.398
K2-233,K2-233 c,,728,,1.335
K2-233,K2-233 d,,482,,2.640
K2-237,K2-237 b,0.37000,1838,392.83788,18.405
K2-238,K2-238 b,0.56000,1587,273.33380,14.572
K2-239,K2-239 b,,502,,1.100
K2-239,K2-239 c,,427,,1.000
K2-239,K2-239 d,,399,,1.100
K2-24,K2-24 b,0.64000,,19.00000,5.400
K2-24,K2-24 c,0.20000,,15.40000,7.500
K2-240,K2-240 b,,586,,2.000
K2-240,K2-240 c,,389,,1.800
K2-241,K2-241 b,,507,,2.550
K2-242,K2-242 b,,416,,2.540
K2-243,K2-243 b,,1035,,2.170
K2-243,K2-243 c,,801,,2.010
K2-244,K2-244 b,,638,,1.750
K2-245,K2-245 b,,923,,4.340
K2-246,K2-246 b,,977,,3.490
K2-247,K2-247 b,,979,,2.120
K2-247,K2-247 c,,688,,2.190
K2-248,K2-248 b,,886,,2.570
K2-249,K2-249 b,,1061,,2.790
K2-25,K2-25 b,,,,3.430
K2-250,K2-250 b,,958,,2.440
K2-251,K2-251 b,,437,,2.350
K2-252,K2-252 b,,639,,1.740
K2-253,K2-253 b,,1238,,12.670
K2-254,K2-254 b,,791,,1.630
K2-254,K2-254 c,,551,,2.190
K2-255,K2-255 b,,1034,,2.900
K2-256,K2-256 b,,845,,2.630
K2-257,K2-257 b,,789,,0.830
K2-258,K2-258 b,,831,,3.000
K2-259,K2-259 b,,795,,2.320
K2-26,K2-26 b,,430,,2.670
K2-260,K2-260 b,0.50000,1957,451.31860,17.396
K2-261,K2-261 b,0.48300,1080,70.87609,9.528
K2-263,K2-263 b,5.70000,470,14.80000,2.410
K2-264,K2-264 b,,496,,2.231
K2-264,K2-264 c,,331,,2.668
K2-265,K2-265 b,7.10000,,6.54000,1.710
K2-266,K2-266 b,1.77000,1515,,3.300
K2-266,K2-266 c,4.51000,665,,0.705
K2-266,K2-266 d,2.03000,538,8.90000,2.930
K2-266,K2-266 e,2.21000,490,14.30000,2.730
K2-268,K2-268 b,,1121,,1.410
K2-268,K2-268 c,,688,,2.690
K2-269,K2-269 b,,1429,,1.570
K2-27,K2-27 b,1.87000,902,30.90000,4.480
K2-270,K2-270 b,,1203,,1.380
K2-270,K2-270 c,,848,,2.950
K2-271,K2-271 b,,893,,7.280
K2-272,K2-272 b,,655,,2.910
K2-273,K2-273 b,,672,,4.420
K2-274,K2-274 b,,589,,2.200
K2-275,K2-275 b,,905,,2.240
K2-275,K2-275 c,,660,,2.340
K2-276,K2-276 b,,583,,3.770
K2-277,K2-277 b,,958,,2.070
K2-278,K2-278 b,,1711,,2.980
K2-279,K2-279 b,,879,,1.210
K2-28,K2-28 b,,568,,2.320
K2-280,K2-280 b,,744,,7.670
K2-281,K2-281 b,,665,,8.180
K2-282,K2-282 b,,1057,,2.820
K2-283,K2-283 b,,1186,,3.520
K2-284,K2-284 b,,653,,2.780
K2-285,K2-285 b,3.07000,1089,9.68000,2.590
K2-285,K2-285 c,1.95000,741,15.68000,3.530
K2-285,K2-285 d,,620,6.50000,2.480
K2-285,K2-285 e,,501,10.70000,1.950
K2-286,K2-286 b,,347,,2.100
K2-287,K2-287 b,,804,100.11645,9.494
K2-288 B,K2-288 B b,,226,,1.900
K2-289,K2-289 b,,753,,9.100
K2-29,K2-29 b,0.53000,1171,232.01590,13.339
K2-290,K2-290 b,4.10000,1230,10.90000,3.060
K2-290,K2-290 c,1.01000,676,246.00042,11.276
K2-291,K2-291 b,8.84000,,6.49000,1.589
K2-293,K2-293 b,,750,,2.450
K2-294,K2-294 b,,1425,,1.660
K2-295,K2-295 b,0.61200,852,106.47305,10.054
K2-3,K2-3 b,,463,,2.180
K2-3,K2-3 c,,344,,1.850
K2-3,K2-3 d,,282,,1.510
K2-30,K2-30 b,0.64000,1092,184.02357,11.646
K2-308,K2-308 b,,,,9.916
K2-31,K2-31 b,,,563.83042,11.882
K2-32,K2-32 b,,,,4.960
K2-32,K2-32 c,,,,2.740
K2-32,K2-32 d,,,,3.270
K2-32,K2-32 e,,,,1.010
K2-33,K2-33 b,,,1175.97100,5.040
K2-34,K2-34 b,,1559,,13.960
K2-35,K2-35 b,,,,1.930
K2-35,K2-35 c,,,,1.320
K2-36,K2-36 b,7.20000,1224,3.90000,1.430
K2-36,K2-36 c,1.30000,788,7.80000,3.200
K2-37,K2-37 b,,974,,1.610
K2-37,K2-37 c,,861,,2.750
K2-37,K2-37 d,,663,,2.730
